SEGMENT_ID|CHARGE_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|BILL_DATE|ORIGINAL_CHARGE_ID|TAX_ID|TAX_CODE|TAX_DESCRIPTION|CODE_TYPE|SVC_DESCRIPTION|REV_CATEGORY_ID|REV_CATEGORY_DESCRIPTION|CHRG_CHANNEL_ID|CHRG_CHANNEL_CODE|CHARGE_STATUS|STATUS_REASON_ID|STATUS_REASON_DESCRIPTION|RES_CURR_CODE|RES_CURR_CHRG_AMOUNT|RPT_CURR_CODE|RPT_CURR_CHRG_AMOUNT|CHARGE_COMMENT|CREATED_DATE|LAST_MODIFIED_DATE
INS9AV2995|7120|299 |INS9AV|5|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
INS9AV2995|7121|299 |INS9AV|5|17-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|90|EUR|21||17-FEB-16|17-FEB-16
INS9AV2995|7162|299 |INS9AV|5|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
INS9AV2996|7163|299 |INS9AV|6|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|292|EUR|67|WEB:AIR|17-FEB-16|17-FEB-16
INS9AV2996|7164|299 |INS9AV|6|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
INS9AV2996|7165|299 |INS9AV|6|17-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|90|EUR|21||17-FEB-16|17-FEB-16
INS9AV2996|7166|299 |INS9AV|6|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
INS9AV2997|7167|299 |INS9AV|7|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|310|EUR|71|WEB:AIR|17-FEB-16|17-FEB-16
INS9AV2997|7168|299 |INS9AV|7|17-FEB-16||544|BOC |Bourgas Departure Tax - Child|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|39|EUR|9|Bourgas Departure Tax - Child|17-FEB-16|17-FEB-16
INS9AV2997|7169|299 |INS9AV|7|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
INS9AV2998|7170|299 |INS9AV|8|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|292|EUR|67|WEB:AIR|17-FEB-16|17-FEB-16
INS9AV2998|7171|299 |INS9AV|8|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
INS9AV2998|7172|299 |INS9AV|8|17-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|90|EUR|21||17-FEB-16|17-FEB-16
INS9AV2998|7173|299 |INS9AV|8|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
